Date,Last
2018-01-02,268.81
2018-01-03,270.47
2018-01-04,271.56
2018-01-05,273.41
2018-01-08,273.94
2018-01-09,274.53
2018-01-10,274.08
2018-01-11,276.09
2018-01-12,277.91
2018-01-16,276.96
2018-01-17,279.61
2018-01-18,279.18
2018-01-19,280.41
2018-01-22,282.69
2018-01-23,283.24
2018-01-24,283.12
2018-01-25,283.3
2018-01-26,286.56
2018-01-29,284.64
2018-01-30,281.6
2018-01-31,282.02
2018-02-01,281.58
2018-02-02,275.52
2018-02-05,263.93
2018-02-06,269.17
2018-02-07,267.63
2018-02-08,257.77
2018-02-09,261.7
2018-02-12,265.22
2018-02-13,266.07
2018-02-14,269.59
2018-02-15,272.93
2018-02-16,273.16
2018-02-20,271.44
2018-02-21,269.97
2018-02-22,270.31
2018-02-23,274.67
2018-02-26,277.88
2018-02-27,274.37
2018-02-28,271.34
2018-03-01,267.7
2018-03-02,269.1
2018-03-05,272.15
2018-03-06,272.95
2018-03-07,272.85
2018-03-08,274.09
2018-03-09,278.76
2018-03-12,278.51
2018-03-13,276.71
2018-03-14,275.24
2018-03-15,275.01
2018-03-16,274.22
2018-03-19,270.61
2018-03-20,270.93
2018-03-21,270.4
2018-03-22,263.75
2018-03-23,258.01
2018-03-26,265.14
2018-03-27,260.5
2018-03-28,259.82
2018-03-29,263.49
2018-04-02,257.54
2018-04-03,260.73
2018-04-04,263.78
2018-04-05,265.59
2018-04-06,259.8
2018-04-09,260.83
2018-04-10,265.05
2018-04-11,263.74
2018-04-12,265.93
2018-04-13,265.09
2018-04-16,267.32
2018-04-17,270.14
2018-04-18,270.37
2018-04-19,268.86
2018-04-20,266.63
2018-04-23,266.57
2018-04-24,263.04
2018-04-25,263.63
2018-04-26,266.24
2018-04-27,266.58
2018-04-30,264.46
2018-05-01,265.01
2018-05-02,263.18
2018-05-03,262.59
2018-05-04,266.01
2018-05-07,266.92
2018-05-08,266.9
2018-05-09,269.48
2018-05-10,272.06
2018-05-11,272.64
2018-05-14,272.91
2018-05-15,271.04
2018-05-16,272.22
2018-05-17,272.03
2018-05-18,271.34
2018-05-21,273.35
2018-05-22,272.57
2018-05-23,273.35
2018-05-24,272.85
2018-05-25,272.18
2018-05-29,269.11
2018-05-30,272.59
2018-05-31,270.76
2018-06-01,273.63
2018-06-04,274.92
2018-06-05,275.19
2018-06-06,277.5
2018-06-07,277.37
2018-06-08,278.15
2018-06-11,278.55
2018-06-12,279.01
2018-06-13,277.91
2018-06-14,278.76
2018-06-15,277.16
2018-06-18,276.57
2018-06-19,275.48
2018-06-20,276.04
2018-06-21,274.21
2018-06-22,274.72
2018-06-25,270.92
2018-06-26,271.55
2018-06-27,269.48
2018-06-28,270.94
2018-06-29,271.2
2018-07-02,272.0
2018-07-03,270.9
2018-07-05,273.06
2018-07-06,275.4
2018-07-09,277.92
2018-07-10,278.84
2018-07-11,276.85
2018-07-12,279.31
2018-07-13,279.58
2018-07-16,279.3
2018-07-17,280.48
2018-07-18,281.07
2018-07-19,279.95
2018-07-20,279.71
2018-07-23,280.24
2018-07-24,281.52
2018-07-25,284.14
2018-07-26,283.26
2018-07-27,281.4
2018-07-30,279.84
2018-07-31,281.19
2018-08-01,280.91
2018-08-02,282.39
2018-08-03,283.63
2018-08-06,284.67
2018-08-07,285.54
2018-08-08,285.42
2018-08-09,285.12
2018-08-10,283.15
2018-08-13,282.0
2018-08-14,283.86
2018-08-15,281.66
2018-08-16,284.07
2018-08-17,285.03
2018-08-20,285.7
2018-08-21,286.33
2018-08-22,286.22
2018-08-23,285.77
2018-08-24,287.54
2018-08-27,289.64
2018-08-28,289.82
2018-08-29,291.51
2018-08-30,290.24
2018-08-31,290.25
2018-09-04,289.86
2018-09-05,289.02
2018-09-06,288.1
2018-09-07,287.55
2018-09-10,288.11
2018-09-11,289.11
2018-09-12,289.19
2018-09-13,290.76
2018-09-14,290.9
2018-09-17,289.32
2018-09-18,290.92
2018-09-19,291.25
2018-09-20,293.6
2018-09-21,292.04
2018-09-24,291.06
2018-09-25,290.73
2018-09-26,289.82
