Date,QUOTE_DATE,EXPIRE_DATE,UNDERLYING_LAST,STRIKE,C_LAST,C_BID,C_ASK,C_IV,C_VOLUME,diff,diff_date
2018-01-02,2018-01-02,2018-01-24,268.81,269.0,1.56,1.72,1.76,0.07134,80.0,0.18999999999999773,22
2018-01-03,2018-01-03,2018-01-24,270.47,270.0,2.15,2.1,2.15,0.07361,271.0,0.4700000000000273,21
2018-01-04,2018-01-04,2018-01-24,271.56,272.0,1.67,1.57,1.61,0.06871,392.0,0.4399999999999977,20
2018-01-05,2018-01-05,2018-01-26,273.41,273.0,2.21,2.23,2.28,0.07675,,0.410000000000025,21
2018-01-08,2018-01-08,2018-01-31,273.94,274.0,2.08,2.07,2.09,0.07593,490.0,0.060000000000002274,23
2018-01-09,2018-01-09,2018-01-31,274.53,275.0,1.95,1.87,1.9,0.07676,,0.4700000000000273,22
2018-01-10,2018-01-10,2018-01-31,274.08,274.0,2.16,2.17,2.21,0.08016,,0.07999999999998408,21
2018-01-11,2018-01-11,2018-01-31,276.09,276.0,2.01,2.07,2.08,0.07689,,0.08999999999997499,20
2018-01-12,2018-01-12,2018-02-02,277.91,278.0,2.26,2.19,2.23,0.08251,,0.08999999999997499,21
2018-01-16,2018-01-16,2018-02-07,276.96,275.0,4.05,3.94,4.04,0.10473,92.0,1.9599999999999795,22
2018-01-17,2018-01-17,2018-02-07,279.61,280.0,2.4,2.38,2.43,0.09496,251.0,0.38999999999998636,21
2018-01-18,2018-01-18,2018-02-07,279.18,280.0,2.2,2.2,2.26,0.10144,460.0,0.8199999999999932,20
2018-01-19,2018-01-19,2018-02-09,280.41,280.0,2.72,2.72,2.78,0.09301,,0.410000000000025,21
2018-01-22,2018-01-22,2018-02-14,282.69,285.0,1.42,1.49,1.49,0.0862,722.0,2.3100000000000023,23
2018-01-23,2018-01-23,2018-02-14,283.24,285.0,1.81,1.76,1.79,0.08985,,1.759999999999991,22
2018-01-24,2018-01-24,2018-02-14,283.12,285.0,2.09,1.87,1.91,0.09795,777.0,1.8799999999999955,21
2018-01-25,2018-01-25,2018-02-14,283.3,285.0,1.86,1.87,1.91,0.09696,332.0,1.6999999999999886,20
2018-01-26,2018-01-26,2018-02-16,286.56,286.5,2.76,2.82,2.88,0.10018,,0.060000000000002274,21
2018-01-29,2018-01-29,2018-02-21,284.64,284.5,3.75,3.64,3.71,0.12363,516.0,0.13999999999998636,23
2018-01-30,2018-01-30,2018-02-21,281.6,281.5,3.75,3.74,3.81,0.13233,58.0,0.10000000000002274,22
2018-01-31,2018-01-31,2018-02-21,282.02,282.0,3.28,3.25,3.3,0.11854,154.0,0.01999999999998181,21
