date,open,high,low,close,volume
02/01/1970,4.0933,4.1617,4.0391,4.1476,45600
05/01/1970,4.1476,4.2159,4.1074,4.1074,32800
06/01/1970,4.1074,4.1204,4.0792,4.1204,48400
07/01/1970,4.0933,4.0933,4.0391,4.0391,31200
08/01/1970,4.0391,4.0933,4.012,4.0662,40400
09/01/1970,4.0532,4.0532,4.012,4.012,35600
12/01/1970,4.012,4.0532,3.9708,3.9708,30400
13/01/1970,3.9708,4.012,3.9448,4.012,14800
14/01/1970,4.012,4.0532,3.9849,4.012,36800
15/01/1970,4.012,4.0391,3.9849,4.012,53200
16/01/1970,4.012,4.0532,3.999,3.999,62800
19/01/1970,3.999,3.999,3.9578,3.9578,32000
20/01/1970,3.9578,3.999,3.9578,3.9578,34000
21/01/1970,3.9578,3.9849,3.9448,3.9448,12800
22/01/1970,3.9448,3.999,3.9036,3.9849,77200
23/01/1970,3.9849,3.9849,3.9307,3.9578,72400
26/01/1970,3.9448,3.9448,3.7821,3.8082,173600
27/01/1970,3.8082,3.8494,3.7951,3.7951,71200
28/01/1970,3.7951,3.8082,3.7279,3.7279,168800
29/01/1970,3.7138,3.7138,3.6997,3.6997,45200
30/01/1970,3.6997,3.7138,3.6455,3.6455,102000
02/02/1970,3.6455,3.6737,3.6195,3.6455,61200
03/02/1970,3.6455,3.7951,3.6455,3.7409,56400
04/02/1970,3.7409,3.7951,3.7409,3.7821,44800
05/02/1970,3.768,3.768,3.7279,3.7539,20800
06/02/1970,3.7539,3.7821,3.7279,3.7279,34400
09/02/1970,3.7279,3.7409,3.6867,3.6867,84000
10/02/1970,3.6596,3.6596,3.5653,3.5913,54400
11/02/1970,3.5913,3.6867,3.5913,3.6737,228400
12/02/1970,3.6737,3.7279,3.6325,3.6596,34400
13/02/1970,3.6596,3.7138,3.6325,3.6867,31200
16/02/1970,3.6867,3.7138,3.6455,3.7138,73200
17/02/1970,3.7138,3.7138,3.6867,3.6867,23200
18/02/1970,3.7138,3.8494,3.7138,3.8223,63200
19/02/1970,3.8223,3.8624,3.8223,3.8624,18800
20/02/1970,3.8624,3.9036,3.8082,3.8624,34400
24/02/1970,3.8223,3.8223,3.6596,3.6737,418800
25/02/1970,3.6737,3.7279,3.5783,3.7279,144000
26/02/1970,3.6997,3.6997,3.5913,3.6596,46000
27/02/1970,3.6596,3.7138,3.6596,3.6997,31600
02/03/1970,3.6997,3.7279,3.6596,3.6867,45600
03/03/1970,3.7279,3.7951,3.7279,3.7951,116400
04/03/1970,3.7951,3.8364,3.768,3.768,38800
05/03/1970,3.768,3.8624,3.768,3.8364,50800
06/03/1970,3.8364,3.8906,3.8082,3.8906,57600
09/03/1970,3.8494,3.8494,3.8223,3.8494,65200
10/03/1970,3.8364,3.8364,3.768,3.768,115600
11/03/1970,3.768,3.7821,3.7409,3.7409,21200
12/03/1970,3.7409,3.768,3.6737,3.7138,59200
13/03/1970,3.6997,3.6997,3.6596,3.6596,18000
16/03/1970,3.6325,3.6325,3.5913,3.6325,32800
17/03/1970,3.6195,3.6195,3.5371,3.5653,22400
18/03/1970,3.5783,3.6325,3.5783,3.6054,20400
19/03/1970,3.6054,3.6325,3.5913,3.6325,22000
