iter	Accuracy	Logloss
0	0.5171588188	0.6931456489
1	0.5171588188	0.6931440799
2	0.5171588188	0.6931425563
3	0.5171588188	0.693141029
4	0.5171588188	0.6931395132
5	0.5171588188	0.6931380018
6	0.5171588188	0.6931364943
7	0.5171588188	0.6931349907
8	0.5171588188	0.693133491
9	0.5171588188	0.6931319948
10	0.5171588188	0.6931305029
11	0.5339185954	0.6931008772
12	0.5339185954	0.6930993924
13	0.5339185954	0.6930970309
14	0.5339185954	0.6930955752
15	0.5339185954	0.6930941019
16	0.5339185954	0.6930926326
17	0.5339185954	0.693091167
18	0.522745411	0.6930897051
19	0.522745411	0.6930882471
20	0.5323224262	0.6930779422
21	0.5323224262	0.693076505
22	0.5323224262	0.6930750582
23	0.5331205108	0.6930516206
24	0.5283320032	0.6930501809
25	0.5283320032	0.6930486861
26	0.5283320032	0.693047254
27	0.5283320032	0.6930458259
28	0.5283320032	0.6930444012
29	0.5283320032	0.6930419091
30	0.5283320032	0.6930404919
31	0.5283320032	0.6930390782
32	0.5283320032	0.6930376683
33	0.5283320032	0.6930362623
34	0.5283320032	0.6930348599
35	0.5283320032	0.6930334609
36	0.5283320032	0.6930320656
37	0.5283320032	0.6930188474
38	0.5283320032	0.6930174595
39	0.5283320032	0.6930160751
40	0.5283320032	0.6930146944
41	0.5283320032	0.6930133173
42	0.5283320032	0.6930119438
43	0.5283320032	0.6930105738
44	0.5283320032	0.6930092074
45	0.5283320032	0.6930078447
46	0.5283320032	0.6929726465
47	0.5283320032	0.6929712911
48	0.5275339186	0.6929699394
49	0.5283320032	0.6929398807
50	0.5275339186	0.692938257
51	0.5275339186	0.692936916
52	0.5275339186	0.6929355786
53	0.5275339186	0.6929342446
54	0.5275339186	0.692932914
55	0.5275339186	0.692931587
56	0.5275339186	0.6929302634
57	0.5275339186	0.6929289432
58	0.5275339186	0.6929276264
59	0.5275339186	0.6929263131
60	0.5275339186	0.6929250032
61	0.5275339186	0.6929236967
62	0.5275339186	0.6929223936
63	0.5275339186	0.6929210939
64	0.5283320032	0.6929197976
65	0.5275339186	0.6929161296
66	0.5275339186	0.6929106094
67	0.5283320032	0.6928753617
68	0.5275339186	0.692874079
69	0.5275339186	0.6928727996
70	0.5275339186	0.6928715236
71	0.5275339186	0.6928334331
72	0.5275339186	0.6928321642
73	0.5275339186	0.6928308987
74	0.5275339186	0.6928296364
75	0.5275339186	0.6928283778
76	0.526735834	0.6928036657
77	0.526735834	0.6928024135
78	0.5291300878	0.6927869736
79	0.5291300878	0.6927857277
80	0.5291300878	0.6927844849
81	0.526735834	0.6927832454
82	0.5259377494	0.6927820092
83	0.526735834	0.692752534
84	0.5259377494	0.6927513046
85	0.5259377494	0.6927500787
86	0.5259377494	0.6927488557
87	0.5259377494	0.692731703
88	0.5259377494	0.6927304866
89	0.5219473264	0.6927292734
90	0.5219473264	0.6927280634
91	0.5203511572	0.6927268565
92	0.5203511572	0.6927256524
93	0.5203511572	0.6927244518
94	0.5203511572	0.6927232543
95	0.5203511572	0.6927220596
96	0.5203511572	0.6927208683
97	0.5203511572	0.6927156957
98	0.5203511572	0.6927145103
99	0.5203511572	0.692713328
100	0.5203511572	0.6926953026
101	0.5203511572	0.6926941267
102	0.5203511572	0.6926929539
103	0.5203511572	0.6926917845
104	0.5203511572	0.6926906178
105	0.5203511572	0.6926894541
106	0.5203511572	0.6926803963
107	0.5203511572	0.692679239
108	0.5203511572	0.6926780844
109	0.5203511572	0.6926769331
110	0.5203511572	0.6926416921
111	0.5203511572	0.692640547
112	0.5203511572	0.6926394048
113	0.5203511572	0.6926382656
114	0.5203511572	0.6926371294
115	0.5203511572	0.6926012992
116	0.5203511572	0.692599893
117	0.5203511572	0.6925642995
118	0.5203511572	0.6925631755
119	0.5203511572	0.6925620543
120	0.5203511572	0.6925609361
121	0.5203511572	0.6925598208
122	0.5203511572	0.6925587084
123	0.5203511572	0.6925575989
124	0.5203511572	0.6925564923
125	0.5203511572	0.6925553886
126	0.5203511572	0.6925542877
127	0.5203511572	0.6925531897
128	0.5203511572	0.6925520945
129	0.5203511572	0.6925164681
130	0.5203511572	0.6925153789
131	0.5203511572	0.6925142924
132	0.5203511572	0.6924776759
133	0.5203511572	0.6924765953
134	0.5203511572	0.6924720029
135	0.5203511572	0.6924709279
136	0.5203511572	0.6924698558
137	0.5203511572	0.6924687864
138	0.5203511572	0.6924677198
139	0.5195530726	0.692466656
140	0.5203511572	0.6924595574
141	0.5203511572	0.6924105908
142	0.5203511572	0.692409536
143	0.5203511572	0.692408484
144	0.5203511572	0.6924074347
145	0.5195530726	0.6924063881
