iter	Passed	Remaining
0	1	1167
1	2	1344
2	4	1404
3	4	1198
4	5	1155
5	6	1050
6	6	966
7	7	902
8	7	864
9	8	836
10	8	803
11	10	902
12	13	1004
13	14	1045
14	15	1009
15	15	974
16	16	945
17	16	925
18	18	950
19	19	932
20	19	920
21	20	899
22	21	904
23	23	954
24	24	958
25	25	968
26	26	955
27	27	940
28	27	923
29	32	1066
30	33	1051
31	34	1036
32	34	1018
33	35	1019
34	36	1003
35	37	991
36	37	979
37	39	1001
38	40	990
39	41	990
40	42	986
41	42	972
42	43	960
43	43	947
44	45	964
45	45	953
46	46	950
47	47	945
48	48	936
49	49	933
50	49	925
51	50	918
52	51	919
53	52	912
54	52	904
55	53	897
56	54	901
57	55	894
58	55	888
59	56	880
60	56	872
61	57	864
62	57	856
63	57	847
64	58	840
65	59	835
66	59	830
67	60	826
68	60	820
69	61	813
70	61	807
71	62	808
72	63	802
73	63	797
74	64	791
75	64	787
76	65	785
77	66	780
78	66	776
79	67	771
80	67	766
81	68	761
82	68	756
83	69	752
84	69	748
85	69	743
86	70	739
87	71	736
88	71	732
89	72	728
90	72	724
91	73	720
92	73	717
93	74	713
94	74	709
95	75	706
96	75	703
97	76	700
98	76	696
99	77	694
100	77	693
101	79	695
102	80	697
103	81	699
104	81	696
105	82	693
106	82	692
107	83	691
108	84	689
109	84	686
110	85	686
111	86	683
112	86	680
113	87	677
114	87	675
115	88	675
116	89	674
117	89	672
118	90	671
119	91	669
120	91	666
121	92	668
122	93	668
123	94	668
124	95	670
125	96	669
126	97	667
127	97	664
128	97	661
129	98	659
130	98	656
131	99	653
132	100	652
133	100	649
134	102	654
135	103	655
136	104	658
137	105	656
138	105	656
139	106	656
140	107	654
141	108	653
142	108	652
143	109	651
144	110	649
145	110	648
146	111	647
147	112	645
148	112	643
149	113	641
150	113	639
151	114	637
152	115	636
153	115	634
154	115	632
155	116	630
156	117	628
157	117	627
158	118	625
159	118	624
160	119	622
161	119	620
162	120	618
163	120	616
164	121	614
165	122	613
166	122	612
167	123	610
168	124	609
169	124	608
170	125	608
171	126	607
172	127	607
173	127	605
174	128	604
175	128	602
176	129	600
177	129	599
178	130	597
179	130	596
180	131	593
181	131	591
182	132	589
183	132	588
184	133	586
185	133	585
186	134	583
187	134	581
188	135	581
189	135	579
190	136	576
191	136	574
192	137	573
193	137	572
194	138	570
195	138	568
196	139	566
197	139	565
198	140	564
199	140	562
200	141	561
201	141	559
202	142	558
203	142	556
204	142	554
205	143	552
206	143	550
207	144	549
208	144	547
209	145	546
210	145	545
211	146	543
212	146	541
213	146	539
214	147	538
215	148	540
216	149	539
217	149	537
218	150	536
219	150	535
220	151	533
221	151	532
222	152	531
223	152	529
224	153	528
225	153	526
226	154	524
227	154	523
228	155	522
229	155	520
230	156	519
231	156	517
232	156	516
233	157	514
234	157	513
235	158	512
236	158	510
237	159	509
238	159	508
239	160	507
240	160	506
241	161	504
242	161	503
243	161	501
244	162	500
245	163	499
246	163	498
247	164	498
248	164	497
249	165	496
250	165	495
251	166	494
252	166	493
253	167	491
254	167	490
255	168	488
256	168	487
257	169	486
258	169	485
259	170	483
260	170	482
